artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,02MWAaffLxlfxAUY7c5dvx,0.761,0.525,-6.9,0.0944,6.7e-06,0.0921
Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,-5.338,0.0557,0.00101,0.311
The Kid LAROI,STAY (with Justin Bieber),STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,-5.484,0.0483,0.0,0.103
Adele,Easy On Me,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,-7.519,0.0282,0.0,0.133
Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,-2.724,0.0856,0.0,0.0424
Jack Harlow,Come Home The Kids Miss You,First Class,0wHFktze2PHC5jDt3B17DC,0.902,0.582,-5.902,0.109,3.18e-06,0.111
Latto,Big Energy,Big Energy,6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,-3.838,0.114,0.0,0.349
Justin Bieber,Justice,Ghost,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,-5.569,0.0478,2.91e-05,0.415
Sniper Gang,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,-6.634,0.144,0.0,0.357
Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,-6.312,0.0317,4.19e-05,0.0952
Future,I NEVER LIKED YOU,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,-4.474,0.34,0.0,0.0686
Lizzo,About Damn Time,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,-6.305,0.0656,0.0,0.335
Ed Sheeran,=,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,-3.745,0.0347,2.79e-05,0.366
