artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
Tears For Fears,The Seeds Of Love,Woman In Chains,6MGOVgWhuG8QTIVt1MzOhP,0.469,0.628,-8.204,0.0293,0.00133,0.0472
Spandau Ballet,Gold - The Best of Spandau Ballet,True - Single Edit,6eDYgjKl4vUgRusxb7THDu,0.742,0.533,-9.098,0.0288,0.148,0.064
The Chordettes,The Chordettes' Best,Mr. Sandman,1T3tP6HvCgDF8ewpRqwM1e,0.616,0.426,-8.399,0.0421,0.0,0.0695
Heart,Heart,These Dreams,22wWxHGHRH8gZXNDXRgSqY,0.535,0.532,-9.865,0.0291,0.0,0.0868
Yes,90125 (Deluxe Version),Owner of a Lonely Heart,0GTK6TesV108Jj5D3MHsYb,0.744,0.798,-5.981,0.0364,0.00367,0.26
Eurogliders,The Essential,Heaven (Must Be There) - 2007 Remastered,3xYJgyDaDaTEetvC0IAee5,0.588,0.803,-7.713,0.045,0.00468,0.0592
Various Artists,Kill Bill Vol. 2 Original Soundtrack,"Urami Bushi - + Hidden Track ""Black Mamba""",33ndSgSGGxV5sBpLh8anAB,0.447,0.468,-6.276,0.0648,7.4e-05,0.0607
Billy Idol,Rebel Yell,Eyes Without A Face,0pUVeEgZuNyFzIMKp67RbS,0.391,0.815,-6.197,0.0518,0.00226,0.276
Fleetwood Mac,Tango in the Night (2017 Remaster),Little Lies - 2017 Remaster,4EcM86vNf0QIOGkpf4O0UP,0.64,0.649,-10.345,0.0264,8.3e-05,0.0551
Paula Abdul,Spellbound,Rush Rush,015qd1I4v00JIoK7yOUgKC,0.706,0.44,-11.577,0.0493,0.0,0.0958
a-ha,Hunting High and Low,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,-7.638,0.054,0.00125,0.0928
K And The Boxers,Sasakyan Kita,Sasakyan Kita,4rbTLk6Za209EkwVT2EZnN,0.805,0.947,-6.195,0.035,0.0,0.0481
Tears For Fears,Songs From The Big Chair,Mothers Talk,2p87CAEgL7eJzVgNZt2M0J,0.608,0.92,-11.807,0.051,0.00625,0.357
George Harrison,All Things Must Pass (Remastered 2014),My Sweet Lord - Remastered 2014,0qdQUeKVyevrbKhAo0ibxS,0.537,0.701,-8.913,0.0335,0.0,0.0832
Fleetwood Mac,Greatest Hits,Gypsy,19Ym5Sg0YyOCa6ao21bdoG,0.622,0.54,-13.99,0.0261,0.00771,0.265
Santana,Supernatural (Remastered),Smooth (feat. Rob Thomas),0n2SEXB2qoRQg171q7XqeW,0.609,0.923,-3.908,0.0338,4.73e-06,0.295
10cc,20th Century Masters: The Millennium Collection: Best Of 10CC,I'm Not In Love,1A6Kwtsg3JWKU2KWM2udpM,0.394,0.663,-11.117,0.0601,0.00156,0.212
The Psychedelic Furs,Mirror Moves,The Ghost In You,04BQXS1HwzNpfZ2Wvw2RIy,0.589,0.529,-13.548,0.0287,1.29e-06,0.104
Santana,Santana (III),Everything's Coming Our Way,31er0BSLvpfLCQmuTGO8vm,0.43,0.628,-11.726,0.0369,0.063,0.162
The O'Jays,The Ultimate O'Jays,Back Stabbers,50H9JNoKqPMDQazo1BEv0J,0.742,0.837,-7.473,0.0389,2.56e-06,0.675
Santana,Ultimate Santana,Black Magic Woman,4nmne9J3YCEdhvjTzwiAgu,0.497,0.552,-7.102,0.0307,0.0314,0.089
Looking Glass,Looking Glass,Brandy (You're a Fine Girl),2BY7ALEWdloFHgQZG6VMLA,0.716,0.625,-11.369,0.0601,1.97e-05,0.134
Bryan Adams,So Far So Good,Please Forgive Me,5hrmOr4ZayPqOVyVwtbh4L,0.581,0.445,-7.987,0.0296,1.03e-06,0.109
Double,Blue,The Captain of Her Heart,5EwltLwI9hRLyiTUAjMsQ6,0.671,0.641,-9.488,0.0241,0.000346,0.118
George Michael,Ladies And Gentlemen... The Best Of George Michael,Careless Whisper,4jDmJ51x1o9NZB5Nxxc7gY,0.574,0.628,-8.815,0.036,0.0,0.271
Tears For Fears,The Hurting,Change,2JhIaeltCDCcp02K936tgx,0.61,0.801,-5.979,0.0301,0.299,0.238
Various Artists,20 #1's: R&B Love Songs,Cherish,55qFgPzUKKuYWTf27txtb4,0.565,0.467,-9.387,0.024,0.0,0.366
Cliff Richard,40 Golden Greats,Devil Woman,2oRn0QuaWQ1hragGQ7XZ9s,0.71,0.792,-5.996,0.0453,3.32e-05,0.0871
Paul Davis,The Best of Paul Davis (Expanded Edition),Cool Night,0ECGe76uQAsgjXHE3uDkbk,0.572,0.523,-5.413,0.0256,0.0,0.181
Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Time After Time,1Jj6MF0xDOMA3Ut2Z368Bx,0.724,0.436,-9.321,0.0282,1.19e-06,0.0908
Elton John,To Be Continued...,Don't Go Breaking My Heart,5pKJtX4wBeby9qIfFhyOJj,0.742,0.863,-7.823,0.038,5.59e-06,0.0699
Simple Minds,Celebrate (Greatest Hits),Don't You (Forget About Me) - Remastered,0A4PZuepTcIQVvA5m7R0M1,0.602,0.784,-7.976,0.0313,0.0852,0.0931
Dr. Hook,Dr. Hook - The Best Of,Sexy Eyes - Single Version,6uxGAruWvj6O2hVBBTNITa,0.734,0.735,-10.13,0.0524,0.0,0.227
