artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
Dua Lipa,Dance The Night (From Barbie The Album),Dance The Night (From Barbie The Album),1vYXt7VSjH9JIM5oRRo7vA,0.671,0.845,-4.93,0.048,0,0.329
Miley Cyrus,Flowers,Flowers,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,-4.325,0.0668,5.15e-06,0.0322
Bad Bunny,WHERE SHE GOES,WHERE SHE GOES,7ro0hRteUMfnOioTFI5TG1,0.652,0.8,-4.019,0.0614,0.629,0.112
SZA,SOS,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,-5.747,0.0391,0.144,0.161
FIFTY FIFTY,The Beginning: Cupid,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,-8.332,0.0331,4.15e-06,0.347
Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.801,0.806,-5.206,0.0381,0.000669,0.114
Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,-5.338,0.0557,0.00101,0.311
Libianca,People,People,26b3oVLrRUaaybJulow9kz,0.573,0.422,-7.621,0.0678,1.31e-05,0.102
Lil Durk,All My Life (feat. J. Cole),All My Life (feat. J. Cole),6HgWWaMu31KdOpEG5l28BG,0.829,0.436,-8.205,0.327,0,0.0954
PinkPantheress,Boy's a liar Pt. 2,Boy's a Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,-8.254,0.05,0.000128,0.248
The Weeknd,Die For You (Remix),Die For You - Remix,7oDd86yk8itslrA9HRP2ki,0.531,0.525,-6.5,0.0671,0,0.441
Post Malone,Chemical,Chemical,5w40ZYhbBMAlHYNDaVJIUu,0.498,0.897,-4.907,0.045,0,0.118
David Kushner,Daylight,Daylight,1odExI7RdWc4BT515LTAwj,0.508,0.43,-9.475,0.0335,0.000441,0.093
Metro Boomin,HEROES & VILLAINS,Creepin' (with The Weeknd & 21 Savage),2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,-6.005,0.0484,0,0.0822
