artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
Vansire,After Fillmore County,The Latter Teens,2zNWXaGuC0E9uxGJGauyLP,0.658,0.441,-10.008,0.0436,0.241,0.109
Vansire,Angel Youth,Halcyon Age,1jQ19CIEPxKkixOhBh7KNf,0.626,0.482,-9.641,0.029,0.148,0.183
Vansire,Angel Youth,Nice to See You,7nEZZ1mWK7h98x8ENbQuqJ,0.539,0.535,-9.717,0.0319,0.632,0.263
Vansire,Metamodernity,Metamodernity,61GiMDN1kUiEQK6zHGMdnx,0.822,0.544,-10.077,0.0358,0.165,0.108
Vansire,The Modern Western World,The Modern Western World,30bLh2OQSfIvDpdu8ckzRg,0.564,0.472,-10.59,0.03,0.207,0.101
Vansire,The Modern Western World,Kind of a Nice Time,38VeWNU9JmJEBvo1k8CjmB,0.65,0.497,-9.19,0.0284,0.0412,0.131
Vansire,The Modern Western World,Seattle and so Forth,3P16E4qSmJ0VtDTgID2Xkz,0.667,0.446,-9.635,0.0241,0.000272,0.285
Vansire,The Modern Western World,Nosebleed Seats,3zREOGri6ic2vk6Dt2NJWk,0.55,0.71,-8.909,0.0432,0.0816,0.109
Vansire,The Modern Western World,Night Vision,1MwPvniPtqPkXwtQDFiJdb,0.688,0.505,-9.16,0.0286,0.482,0.217
Vansire,The Modern Western World,A Long Drive Back,5ek40zpnWzHxjcV9qUxXTe,0.699,0.629,-8.965,0.0315,0.0352,0.161
Vansire,The Modern Western World,Just the Right Song,4P3mcaMeif02CSqx6MAleZ,0.689,0.534,-10.335,0.0325,0.00174,0.11
Vansire,That I Miss You,That I Miss You,7cneuh5BMBbqbbGrpqTDHQ,0.779,0.572,-9.259,0.0396,0.739,0.106
Vansire,The Modern Western World,Bryn Mawr All-Stars,0eu6Ismb2aSdyIHc2Mtx23,0.435,0.598,-10.307,0.0715,0.602,0.237
Vansire,Angel Youth,From the Subway Train,0qOCy2LqvdkMora7eZsJhQ,0.392,0.429,-10.279,0.0462,0.015,0.217
Elton John,Honky Chateau,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,0.601,0.532,-9.119,0.0286,6.25e-06,0.0925
George Harrison,All Things Must Pass (Remastered),My Sweet Lord,3Njxl86N4inxFi5xBuCoR1,0.538,0.704,-8.904,0.0332,0.0,0.0867
Stephen Bishop,20th Century Masters: The Millennium Collection: Best Of Stephen Bishop,It Might Be You,2wBblZ0wyRVjSVKQrNwSFx,0.577,0.391,-10.591,0.0243,7.2e-05,0.393
Lobo,Of A Simple Man,I'd Love You to Want Me,71CXzHYYOyNqgtVFpNdeCS,0.431,0.543,-9.96,0.0394,0.000123,0.0598
Mary MacGregor,Just Mary,Torn Between Two Lovers,0uSrLvAGZPVkO2DgCj6DfC,0.551,0.479,-9.2,0.0301,0.0901,0.148
Stephen Bishop,Careless,On And On,0Vth3l4XAo8hNYmxjzhr2y,0.57,0.462,-10.483,0.0283,0.000223,0.104
Bob Moses,Battle Lines,Battle Lines,0ErpngN7msRMzOybuOj4X6,0.5539999999999999,0.521,-9.114,0.0289999999999999,0.2,0.15
Harry Styles,Harry Styles,From the Dining Table,1IF5UcqRO42D12vYwceOY6,0.671,0.156,-16.288,0.0371,0.0518,0.113
Harry Styles,Fine Line,Cherry,2IOFZdYYkFxEHVz1w34PoL,0.53,0.512,-9.261,0.0259,0.00453,0.129
Harry Styles,Harry's House,Matilda,6uvh0In7u1Xn4HgxOfAn8O,0.507,0.294,-10.0,0.04,1.97e-05,0.0966
Harry Styles,Harry's House,Keep Driving,2NcQic8JxdjAlAHuNbOIRE,0.721,0.479,-9.669,0.226,0.00156,0.182
Harry Styles,Harry's House,Boyfriends,6qj02zSeEJGWZ4c0dn5QzJ,0.417,0.202,-10.976,0.0357,0.0,0.108
