artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
The Radiators,New Dark Ages,Dream Woman,6x2TpeiwPPR94PhTqaJBkS,0.621,0.565,-7.097,0.0515,0.000819,0.241
Cyanna,Just A Crash,Done Be,1vPMum9SVv29vMII1X0e3b,0.581,0.633,-7.129,0.0676,0.00171,0.166
Kim Wilson,Lookin' For Trouble,Love My Baby,2quMLkj3NIlRC4mfX9rMTC,0.634,0.555,-7.12,0.0693,0.0,0.235
Simon Kinny-Lewis,Street Blues,Purple Rain,6NGjLkEnXuNzrl44K871TX,0.649,0.5529999999999999,-7.109,0.0501,0.0003109999999999,0.157
Julie Bergan,Turn On The Lights,I'm Good,6Cyky0ziRozMxICkpI7Y8Y,0.603,0.643,-7.147,0.0502,3.4200000000000005e-05,0.244
Na Leo Pilimehana,Local Boys - 20th Anniversary 1984-2004,Local Boys,23KBbvW5kXuuRyxNaC09oU,0.64,0.574,-7.053999999999999,0.0962,0.0,0.176
Smileyface,Lost Luggage,B*Tch Keep Rollin,1M0Qm0F9h03QEZJiNo8nWY,0.593,0.616,-7.084,0.104,0.0,0.228
Syl Johnson,Talkin' About Chicago,Trade Secret,2ZkyQs02kQnk1pvSxk1m3G,0.615,0.59,-7.125,0.0783,0.0,0.211
Colacho Mendoza,"Clásicos de la Música Tropical Colombiana, Vol. 4",La Casa en el Aire,5FR7Wpr0YI5q8n1JGRimKd,0.616,0.649,-7.115,0.102,0.0,0.1689999999999999
JOY.,Six - EP,Smoke Too Much,7ypn9YucE5ULiqP4pVwv10,0.5670000000000001,0.5539999999999999,-7.08,0.0639,0.0,0.156
Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),When Christmas Comes,1dTzXtog6vWqdLc7BgRScw,0.595,0.609,-7.147,0.0543,0.0,0.242
Jovem Dionisio,Dança Entre Casais,Te Olhei,1ObAnKZF6qTYg1W9ZAhKrs,0.632,0.628,-7.086,0.0752,0.0,0.157
Jon,Flammer,Flammer,1PrCPwaFJAZUkJcE34Tstc,0.6459999999999999,0.638,-7.069,0.0575,0.0,0.161
Biicla,Deeper (Zeds Dead x Funkin Matt Remix),Deeper (Zeds Dead x Funkin Matt Remix),3gKNfWPsf30s5ku2jqo64j,0.617,0.551,-7.0710000000000015,0.0511,0.00297,0.195
3T,Chapter III,Heaven,0b1iN8bs4lCZAuWPTkbdhK,0.606,0.5920000000000001,-7.108,0.0721,4.38e-06,0.248
